time,temperature_2m_max (°C),temperature_2m_min (°C),weather_code (wmo code),wind_speed_10m_max (km/h),cloud_cover_mean (%),relative_humidity_2m_mean (%),pressure_msl_mean (hPa),cloud_cover_max (%),dew_point_2m_mean (°C),temperature_2m_mean (°C),apparent_temperature_mean (°C),wind_speed_10m_mean (km/h)
2000-01-01,27,22.8,2,22.4,33,66,1012.7,53,17.6,24.5,24.7,17.8
2000-01-02,27.1,22,3,19.9,52,67,1012.5,95,17.7,24.5,25,15.8
2000-01-03,26.6,21.6,3,22.9,47,70,1011.9,100,18.1,23.9,24.4,17.9
2000-01-04,26.9,21,3,20.4,45,71,1011.9,100,18.2,23.9,24.7,16.1
2000-01-05,26.9,22.9,51,24.2,83,75,1011.6,100,20,24.7,25.8,19.5
2000-01-06,26.9,23,51,25.3,93,75,1011.7,100,20.1,24.7,25.6,20.7
2000-01-07,27.1,22.4,3,26.1,48,75,1011.9,99,19.7,24.5,25.5,19.8
2000-01-08,27,23.4,3,23.9,84,70,1012.2,100,18.9,24.8,25.5,18.3
2000-01-09,27.2,22.9,3,21.4,57,76,1011.8,98,19.9,24.5,26,16.3
2000-01-10,27.2,23.3,53,20.9,61,74,1011.2,99,19.9,24.8,26.4,15.8
2000-01-11,26.8,22.8,51,20.8,42,79,1011.8,63,20.5,24.5,26.5,14.8
2000-01-12,27.5,22.8,2,14.4,31,76,1011.7,54,20.1,24.6,26.9,11.5
2000-01-13,28,20.1,1,13.2,16,77,1011.3,45,19.7,24.1,26.6,9.3
2000-01-14,28.1,20.5,2,9.1,28,80,1010.5,56,20.1,24.1,27.3,6
2000-01-15,28.6,20,3,11.4,72,81,1010.8,99,20.4,24.2,27.4,7
2000-01-16,28.6,21.6,3,14.7,37,79,1011.7,97,20.8,24.8,27.8,9.5
2000-01-17,27.5,22,2,16.9,28,78,1013.8,60,20,24.3,26.6,12
2000-01-18,27.9,20.6,2,18.3,28,77,1014.9,59,19.5,24.1,26.1,13.1
2000-01-19,28.6,20,1,13.5,20,79,1014,48,20.2,24.3,27.1,8.5
2000-01-20,29,19.5,3,11.2,23,81,1011.8,100,19.6,23.6,26.6,6.7
2000-01-21,28.5,19.4,2,13.2,13,81,1012.5,68,19.4,23.1,25.6,9.4
2000-01-22,27.6,18.2,3,12.3,34,81,1013.2,100,18.8,22.5,24.9,7.3
2000-01-23,28.2,18.3,3,14.2,85,81,1012.9,100,18.7,22.5,24.5,9.9
2000-01-24,28,18.8,2,11.4,25,79,1013.5,66,19,23.2,25.5,8.6
2000-01-25,27.7,20.4,3,15.8,31,77,1014.7,89,19.6,24,26.2,11.1
2000-01-26,28.1,20.5,51,15,15,73,1015.1,38,18.8,24.3,26.2,11.5
2000-01-27,27.9,21.8,2,21.7,34,73,1014.3,78,19.1,24.4,25.8,15.4
2000-01-28,28.4,22.2,3,18.8,63,70,1014.1,98,18.6,24.8,25.9,14.7
2000-01-29,28.9,21,1,16,15,76,1014.5,40,19.5,24.4,26.5,12.2
2000-01-30,28.9,19.5,2,14.6,11,78,1015.1,67,19.3,23.8,26.3,9.1
2000-01-31,28.4,20.8,1,13.7,8,74,1015.2,31,18.6,24,25.9,10.3
2000-02-01,27.5,20.5,2,13.4,19,69,1013.5,66,17.2,23.6,25,10.1
2000-02-02,29.3,19.3,3,14.4,59,71,1013.2,100,18.3,24.2,26.3,8.1
2000-02-03,28.9,22.9,51,19.5,96,81,1013.8,100,21.9,25.6,28.8,12.4
2000-02-04,28.9,23.3,51,13.8,65,82,1012.7,95,22.4,25.8,29.6,10.3
2000-02-05,29.5,22.6,51,17.6,26,84,1011.3,65,22.5,25.7,29.3,11.9
2000-02-06,29.4,23.5,53,16.7,29,80,1010.5,47,22.2,26.1,29.2,14
2000-02-07,30.9,24.2,53,18,38,81,1010,100,22.8,26.6,30.1,14.6
2000-02-08,29.3,23.8,51,20.8,83,83,1009.7,100,22.6,25.9,29.2,14.7
2000-02-09,29.2,24,51,16.6,55,76,1010.7,96,21.3,26,28.7,13.1
2000-02-10,30.1,23.8,3,17.6,55,75,1011.3,100,21.1,26.2,28.8,13.7
2000-02-11,29.7,23,3,19.2,52,76,1011.1,93,21.1,25.8,28.4,14.3
2000-02-12,29.7,23,3,14,53,76,1010.8,98,21.1,25.9,28.9,10.9
2000-02-13,30.2,22.1,2,16,15,77,1010.1,59,20.6,25.4,28.2,11.5
2000-02-14,29.4,20.3,2,14.9,37,75,1011.1,75,19.6,24.7,27.2,9.6
2000-02-15,29.3,23.5,3,17.4,83,67,1012,98,19.1,26.1,27.7,13.5
2000-02-16,29.9,23,3,14.7,94,71,1011.9,100,20,26.1,28.6,11.5
2000-02-17,30.7,22.6,3,13.7,43,73,1010,97,20.3,25.9,29.1,8.3
2000-02-18,32.5,21.9,2,17.2,16,73,1009,65,20.5,26.3,29,12.1
2000-02-19,29.9,22.9,2,16,25,75,1009.1,54,21,26.1,29,11.4
2000-02-20,30,22.7,51,18.5,80,76,1008.6,100,21.5,26.3,29.3,12.1
2000-02-21,30,24.4,51,15.9,64,78,1008.9,100,22.5,26.7,30.4,11.6
2000-02-22,29.9,24,3,16,93,78,1009.8,100,22.3,26.6,30.1,11.9
2000-02-23,27.9,24,61,13.2,86,86,1010.4,100,22.7,25.3,29.2,10.4
2000-02-24,27.5,23.8,63,14.3,88,88,1011.4,100,22.9,25.1,29,10.2
2000-02-25,27.9,23.4,53,12.2,72,87,1010.3,100,22.6,24.9,29.1,7.6
2000-02-26,27.6,23.4,63,16.3,61,86,1008.8,97,22.8,25.3,29.2,10.2
2000-02-27,28,23.4,61,20.3,60,87,1009.7,97,22.8,25.1,28.8,12.4
2000-02-28,28.8,24.4,51,21.7,30,77,1011.7,49,21.7,26.3,28.8,16.9
2000-02-29,28.8,23,1,19.9,12,71,1012.2,39,19.9,25.8,28,13.7
2000-03-01,29.1,20.9,0,14.6,1,68,1011.4,12,17.9,24.7,26.5,10.7
2000-03-02,29.2,17.5,3,10.6,23,74,1011.3,98,17.6,23.1,25.5,6.5
2000-03-03,30.2,18,2,9.8,12,74,1011.2,77,18.3,23.9,26.5,7.2
2000-03-04,31.5,18.9,3,16.5,20,76,1010.8,85,19.6,24.8,27.3,11.7
2000-03-05,30.2,21.4,3,14.4,33,80,1009.9,100,20.8,25,28.4,9.4
2000-03-06,30,20.8,3,12.5,38,79,1009.8,91,20.6,24.8,28.1,8.9
